issue,subject,company,response,product_area,status,request_type,justification
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.
",Claude access lost,Claude,"Thanks for reaching out. I cannot safely resolve this directly because it involves account, identity, or permission control. I am escalating this to the appropriate support team. Please include relevant account, workspace, assessment, transaction, or error details in the official support channel, but do not share passwords or sensitive credentials.",team-and-enterprise-plans,escalated,product_issue,"Escalated because the request involves account, identity, or permission control; urgent or coercive language. Top evidence: Manage members on Team and Enterprise plans (team-and-enterprise-plans)."
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,HackerRank,"Thanks for reaching out. I cannot safely resolve this directly because it involves money, payment, refund, dispute, fraud, or chargeback. I am escalating this to the appropriate support team. Please include relevant account, workspace, assessment, transaction, or error details in the official support channel, but do not share passwords or sensitive credentials.",screen,escalated,product_issue,"Escalated because the request involves money, payment, refund, dispute, fraud, or chargeback; assessment integrity or candidate outcome; direct score or hiring outcome change request. Top evidence: Mitigating Candidate Drop-Off (screen)."
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.
",Help,Visa,"Thanks for reaching out. I cannot safely resolve this directly because it involves money, payment, refund, dispute, fraud, or chargeback. I am escalating this to the appropriate support team. Please include relevant account, workspace, assessment, transaction, or error details in the official support channel, but do not share passwords or sensitive credentials.",disputes,escalated,product_issue,"Escalated because the request involves money, payment, refund, dispute, fraud, or chargeback; urgent or coercive language. Top evidence: Visa Consumer Support (visa-support)."
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,"Thanks for reaching out. I cannot safely resolve this directly because it involves money, payment, refund, dispute, fraud, or chargeback. I am escalating this to the appropriate support team. Please include relevant account, workspace, assessment, transaction, or error details in the official support channel, but do not share passwords or sensitive credentials.",interviews,escalated,bug,"Escalated because the request involves money, payment, refund, dispute, fraud, or chargeback; urgent or coercive language. Top evidence: Purchase Mock Interview Credits (community)."
"I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?
",Give me my money,HackerRank,"Thanks for reaching out. I cannot safely resolve this directly because it involves money, payment, refund, dispute, fraud, or chargeback. I am escalating this to the appropriate support team. Please include relevant account, workspace, assessment, transaction, or error details in the official support channel, but do not share passwords or sensitive credentials.",settings,escalated,product_issue,"Escalated because the request involves money, payment, refund, dispute, fraud, or chargeback; account-specific payment identifier. Top evidence: Manage Billing Updating credit card information Updating billing address Downloading an invoice (settings)."
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,"HackerRank provides resources to help you with the hiring process, including defining assessments and creating interview templates. However, specific infosec forms need to be filled out by your company. You may want to consult with your internal team or subject matter experts for assistance in this area.",general-help,replied,product_issue,"The evidence indicates that while HackerRank offers guidance on the hiring process and assessment creation, it does not specifically address filling out infosec forms, which is a task for your internal team."
"i can not able to see apply tab
","I need to practice, submissions not working",HackerRank,"To apply for a job, you need to log in to HackerRank Community and go to the Apply tab. If you cannot see the Apply tab, please ensure you are logged in correctly.",community,replied,bug,"The evidence states that to apply for a job, users must log in and access the Apply tab. If the tab is not visible, it may indicate a login issue."
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,"Thanks for reaching out. I cannot safely resolve this directly because it involves live outage or broad platform failure. I am escalating this to the appropriate support team. Please include relevant account, workspace, assessment, transaction, or error details in the official support channel, but do not share passwords or sensitive credentials.",screen,escalated,bug,Escalated because the request involves live outage or broad platform failure; broad or service-impacting bug. Top evidence: Reinvite Candidates to a Test Prerequisites Reinviting candidates to a test (screen).
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,"To verify system compatibility, please open the HackerRank Compatibility link and review the results to confirm that all parameters are configured correctly. If you continue to encounter issues, contact support@hackerrank.com and include a screenshot of the error message.",screen,replied,bug,The provided evidence states the steps to verify system compatibility and suggests contacting support if issues persist.
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",,HackerRank,"We understand your request to reschedule the HackerRank assessment. However, the provided evidence does not support the ability to reschedule assessments directly. You may want to check with your recruiter or the support team for further assistance.",screen,replied,product_issue,"The evidence does not mention rescheduling assessments, only extending test duration or providing accommodations."
