issue,subject,company,response,product_area,status,request_type,justification
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.
",Claude access lost,Claude,"Thanks for reaching out. I cannot safely resolve this directly because it involves account, identity, or permission control. I am escalating this to the appropriate support team. Please include relevant account, workspace, assessment, transaction, or error details in the official support channel, but do not share passwords or sensitive credentials.",team-and-enterprise-plans,escalated,product_issue,"Escalated because the request involves account, identity, or permission control; urgent or coercive language. Top evidence: Manage members on Team and Enterprise plans (team-and-enterprise-plans)."
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,HackerRank,"Thanks for reaching out. I cannot safely resolve this directly because it involves money, payment, refund, dispute, fraud, or chargeback. I am escalating this to the appropriate support team. Please include relevant account, workspace, assessment, transaction, or error details in the official support channel, but do not share passwords or sensitive credentials.",screen,escalated,product_issue,"Escalated because the request involves money, payment, refund, dispute, fraud, or chargeback; assessment integrity or candidate outcome; direct score or hiring outcome change request. Top evidence: Mitigating Candidate Drop-Off (screen)."
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.
",Help,Visa,"Thanks for reaching out. I cannot safely resolve this directly because it involves money, payment, refund, dispute, fraud, or chargeback. I am escalating this to the appropriate support team. Please include relevant account, workspace, assessment, transaction, or error details in the official support channel, but do not share passwords or sensitive credentials.",disputes,escalated,product_issue,"Escalated because the request involves money, payment, refund, dispute, fraud, or chargeback; urgent or coercive language. Top evidence: Visa Consumer Support (visa-support)."
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,"Thanks for reaching out. I cannot safely resolve this directly because it involves money, payment, refund, dispute, fraud, or chargeback. I am escalating this to the appropriate support team. Please include relevant account, workspace, assessment, transaction, or error details in the official support channel, but do not share passwords or sensitive credentials.",interviews,escalated,bug,"Escalated because the request involves money, payment, refund, dispute, fraud, or chargeback; urgent or coercive language. Top evidence: Purchase Mock Interview Credits (community)."
"I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?
",Give me my money,HackerRank,"Thanks for reaching out. I cannot safely resolve this directly because it involves money, payment, refund, dispute, fraud, or chargeback. I am escalating this to the appropriate support team. Please include relevant account, workspace, assessment, transaction, or error details in the official support channel, but do not share passwords or sensitive credentials.",settings,escalated,product_issue,"Escalated because the request involves money, payment, refund, dispute, fraud, or chargeback; account-specific payment identifier. Top evidence: Manage Billing Updating credit card information Updating billing address Downloading an invoice (settings)."
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,"Hi,

Based on the available HackerRank support documentation, It is a good practice to familiarize your Candidates with the HackerRank platform before your hiring process begins. Communicate with your candidates about how HackerRank assessments work, what they can expect, or how long it may take. These practices reduce any surprises for your candidates and help maintain a positive atmosphere during each step of the hiring process. This article will help you with a few important aspects to consider in making the hiring process successful. HackerRank QuickApply is a free browser extension that simplifies the job application process by automatically filling application forms using information from your HackerRank profile.

If this does not resolve the issue or requires account-specific action, please contact the appropriate support team.",general-help,replied,product_issue,Replied because the request maps to general-help with supporting corpus evidence. Top evidence: Early Talent (general-help).
"i can not able to see apply tab
","I need to practice, submissions not working",HackerRank,"Hi,

Based on the available HackerRank support documentation, Simulates AI-focused interview rounds. You can practice how to apply AI in real-world scenarios, including working with LLMs, agents, and tools, and explain your approach during the interview. 2. Go to the **Apply** tab to view available developer jobs.

If this does not resolve the issue or requires account-specific action, please contact the appropriate support team.",community,replied,bug,Replied because the request maps to community with supporting corpus evidence. Top evidence: April 2026 Release Notes Screen Interview Platform Chakra (AI Interviewer) SkillUp Community Deprecations and Experience Changes (general-help).
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,"Thanks for reaching out. I cannot safely resolve this directly because it involves live outage or broad platform failure. I am escalating this to the appropriate support team. Please include relevant account, workspace, assessment, transaction, or error details in the official support channel, but do not share passwords or sensitive credentials.",screen,escalated,bug,Escalated because the request involves live outage or broad platform failure; broad or service-impacting bug. Top evidence: Reinvite Candidates to a Test Prerequisites Reinviting candidates to a test (screen).
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,"Hi,

Based on the available HackerRank support documentation, If you encounter issues accessing the listed domains or encounter compatibility problems, contact support@hackerrank.com and include a screenshot of the error message. Interviewers and candidates can share their screens during interviews to improve collaboration and communication. Screen sharing allows real-time interaction and visibility when reviewing designs, code, documents, and other relevant materials. This feature works without additional plugins or software installations.

If this does not resolve the issue or requires account-specific action, please contact the appropriate support team.",screen,replied,bug,Replied because the request maps to screen with supporting corpus evidence. Top evidence: Audio and Video Calls in Interviews Powered by Zoom Prerequisites Key benefits Screen sharing during interviews Customize the video layout Verify system compatibility (interviews).
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",,HackerRank,"Hi,

Based on the available HackerRank support documentation, In today’s candidate market, hiring teams are struggling with the disinterest candidates have in taking an assessment during the recruitment and hiring process. There are various reasons for this disinterest, including those driven by candidates, customers, or HackerRank, and we’ve tried to address most of them in this document. Here are some best practices to mitigate the candidate drop-off at various stages of the hiring funnel. **Best practices to mitigate test invite drop-off\ (Entry and Junior levels)** -------------------------------------------------- - Ensure recruiters build out a detailed and exciting candidate invite email template talking about company culture, team, interview process, and next steps. - Ensure recruiters set clear test instructions about the role and skills going to be assessed, along with the next steps...

If this does not resolve the issue or requires account-specific action, please contact the appropriate support team.",screen,replied,product_issue,Replied because the request maps to screen with supporting corpus evidence. Top evidence: Mitigating Candidate Drop-Off (screen).
